item_id,subject_id,subject_type,reason,recommended_action,confidence,fields
mr_board_1uPDbvw6L0MgNr4AW2hEtU_25,board_1uPDbvw6L0MgNr4AW2hEtU,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE02'}
mr_board_1aUKvm5Vn6pB1ZfN1xydf8_26,board_1aUKvm5Vn6pB1ZfN1xydf8,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE08'}
mr_board_3Sg96Yq1H0KeIY_4TWSz7a_27,board_3Sg96Yq1H0KeIY_4TWSz7a,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3Sg96Yq1H0KeIY_4TWSz7T_28,board_3Sg96Yq1H0KeIY_4TWSz7T,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3Sg96Yq1H0KeIY_4TWSz7S_29,board_3Sg96Yq1H0KeIY_4TWSz7S,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3Sg96Yq1H0KeIY_4TWSz7V_30,board_3Sg96Yq1H0KeIY_4TWSz7V,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3Sg96Yq1H0KeIY_4TWSz7U_31,board_3Sg96Yq1H0KeIY_4TWSz7U,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3Sg96Yq1H0KeIY_4TWSz7H_32,board_3Sg96Yq1H0KeIY_4TWSz7H,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3Sg96Yq1H0KeIY_4TWSz79_33,board_3Sg96Yq1H0KeIY_4TWSz79,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3Sg96Yq1H0KeIY_4TWSz78_34,board_3Sg96Yq1H0KeIY_4TWSz78,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_2ILcbW7IvEOAriHq5LuDGn_35,board_2ILcbW7IvEOAriHq5LuDGn,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_0irh5V91zCcfh8lHZeV4Fq_36,board_0irh5V91zCcfh8lHZeV4Fq,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3JIKR4ApD9Zubrv_yC0GIX_37,board_3JIKR4ApD9Zubrv_yC0GIX,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3JIKR4ApD9Zubrv_yC0GIg_38,board_3JIKR4ApD9Zubrv_yC0GIg,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_0ySY4lCdb6wP8OlE3GnJKj_39,board_0ySY4lCdb6wP8OlE3GnJKj,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_0ySY4lCdb6wP8OlE3GnJLh_40,board_0ySY4lCdb6wP8OlE3GnJLh,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3nAqxWAvT6Kwm_Yz__pXOi_41,board_3nAqxWAvT6Kwm_Yz__pXOi,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3nAqxWAvT6Kwm_Yz__pXOI_42,board_3nAqxWAvT6Kwm_Yz__pXOI,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3Sg96Yq1H0KeIY_4TWSyoh_43,board_3Sg96Yq1H0KeIY_4TWSyoh,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3Sg96Yq1H0KeIY_4TWSyoW_44,board_3Sg96Yq1H0KeIY_4TWSyoW,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3Sg96Yq1H0KeIY_4TWSyoZ_45,board_3Sg96Yq1H0KeIY_4TWSyoZ,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3Sg96Yq1H0KeIY_4TWSyoY_46,board_3Sg96Yq1H0KeIY_4TWSyoY,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3Sg96Yq1H0KeIY_4TWSyob_47,board_3Sg96Yq1H0KeIY_4TWSyob,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
mr_board_3Sg96Yq1H0KeIY_4TWSyoa_48,board_3Sg96Yq1H0KeIY_4TWSyoa,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3Sg96Yq1H0KeIY_4TWSyoS_49,board_3Sg96Yq1H0KeIY_4TWSyoS,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3Sg96Yq1H0KeIY_4TWSyoV_50,board_3Sg96Yq1H0KeIY_4TWSyoV,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_0BApDNy4b68xPmOWc6gBjW_51,board_0BApDNy4b68xPmOWc6gBjW,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE08'}
mr_board_0BApDNy4b68xPmOWc6g5bB_52,board_0BApDNy4b68xPmOWc6g5bB,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'VVK01'}
mr_board_0BApDNy4b68xPmOWc6g7w6_53,board_0BApDNy4b68xPmOWc6g7w6,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE09'}
mr_board_0BApDNy4b68xPmOWc6g7wd_54,board_0BApDNy4b68xPmOWc6g7wd,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE08'}
mr_board_2CLLxwql1ENgOMn_rShACC_55,board_2CLLxwql1ENgOMn_rShACC,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_2CLLxwql1ENgOMn_rShACR_56,board_2CLLxwql1ENgOMn_rShACR,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE01'}
