ifc_global_id,ifc_class,kind,field,value,status
0YlieLMgD4O9YRLNjlwdJN,IfcElectricDistributionBoard,board,phase_count,3.0,present
0YlieLMgD4O9YRLNjlwdJN,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0YlieLMgD4O9YRLNjlwdJN,IfcElectricDistributionBoard,board,system_code,S0301,present
0YlieLMgD4O9YRLNjlwdJu,IfcElectricDistributionBoard,board,voltage_v,400.0,present
0YlieLMgD4O9YRLNjlwdJu,IfcElectricDistributionBoard,board,phase_count,3.0,present
0YlieLMgD4O9YRLNjlwdJu,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0YlieLMgD4O9YRLNjlwdJu,IfcElectricDistributionBoard,board,system_code,S0301,present
1T4Dk9Ojj9rOi06EMenZ3N,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1T4Dk9Ojj9rOi06EMenZ3N,IfcElectricDistributionBoard,board,phase_count,3.0,present
1T4Dk9Ojj9rOi06EMenZ3N,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1T4Dk9Ojj9rOi06EMenZ3N,IfcElectricDistributionBoard,board,system_code,S0301,present
1T4Dk9Ojj9rOi06EMenZ3G,IfcElectricDistributionBoard,board,voltage_v,230.0,present
1T4Dk9Ojj9rOi06EMenZ3G,IfcElectricDistributionBoard,board,phase_count,1.0,present
1T4Dk9Ojj9rOi06EMenZ3G,IfcElectricDistributionBoard,board,rated_current_a,,missing
1T4Dk9Ojj9rOi06EMenZ3G,IfcElectricDistributionBoard,board,system_code,D0101,present
0v5ZMY9z92W9XFjubzgo4H,IfcElectricDistributionBoard,board,voltage_v,400.0,present
0v5ZMY9z92W9XFjubzgo4H,IfcElectricDistributionBoard,board,phase_count,3.0,present
0v5ZMY9z92W9XFjubzgo4H,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0v5ZMY9z92W9XFjubzgo4H,IfcElectricDistributionBoard,board,system_code,S0301,present
0v5ZMY9z92W9XFjubzgo4t,IfcElectricDistributionBoard,board,voltage_v,400.0,present
0v5ZMY9z92W9XFjubzgo4t,IfcElectricDistributionBoard,board,phase_count,3.0,present
0v5ZMY9z92W9XFjubzgo4t,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0v5ZMY9z92W9XFjubzgo4t,IfcElectricDistributionBoard,board,system_code,S0301,present
03k$lofl1AlwgVg6JePWUa,IfcElectricDistributionBoard,board,voltage_v,230.0,present
03k$lofl1AlwgVg6JePWUa,IfcElectricDistributionBoard,board,phase_count,1.0,present
03k$lofl1AlwgVg6JePWUa,IfcElectricDistributionBoard,board,rated_current_a,,missing
03k$lofl1AlwgVg6JePWUa,IfcElectricDistributionBoard,board,system_code,D0101,present
29TNjzyaLFhP4y0nNcCYsr,IfcElectricDistributionBoard,board,voltage_v,230.0,present
29TNjzyaLFhP4y0nNcCYsr,IfcElectricDistributionBoard,board,phase_count,1.0,present
29TNjzyaLFhP4y0nNcCYsr,IfcElectricDistributionBoard,board,rated_current_a,,missing
29TNjzyaLFhP4y0nNcCYsr,IfcElectricDistributionBoard,board,system_code,D0101,present
2Nl2KpUg9CfPXj33hGJG3g,IfcElectricDistributionBoard,board,voltage_v,400.0,present
2Nl2KpUg9CfPXj33hGJG3g,IfcElectricDistributionBoard,board,phase_count,3.0,present
2Nl2KpUg9CfPXj33hGJG3g,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
2Nl2KpUg9CfPXj33hGJG3g,IfcElectricDistributionBoard,board,system_code,S0301,present
1uPDbvw6L0MgNr4AW2hEsV,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1uPDbvw6L0MgNr4AW2hEsV,IfcElectricDistributionBoard,board,phase_count,3.0,present
1uPDbvw6L0MgNr4AW2hEsV,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1uPDbvw6L0MgNr4AW2hEsV,IfcElectricDistributionBoard,board,system_code,S0301,present
1uPDbvw6L0MgNr4AW2hEs_,IfcElectricDistributionBoard,board,voltage_v,230.0,present
1uPDbvw6L0MgNr4AW2hEs_,IfcElectricDistributionBoard,board,phase_count,1.0,present
1uPDbvw6L0MgNr4AW2hEs_,IfcElectricDistributionBoard,board,rated_current_a,,missing
1uPDbvw6L0MgNr4AW2hEs_,IfcElectricDistributionBoard,board,system_code,D0101,present
1uPDbvw6L0MgNr4AW2hEsX,IfcElectricDistributionBoard,board,voltage_v,230.0,present
1uPDbvw6L0MgNr4AW2hEsX,IfcElectricDistributionBoard,board,phase_count,1.0,present
1uPDbvw6L0MgNr4AW2hEsX,IfcElectricDistributionBoard,board,rated_current_a,,missing
1uPDbvw6L0MgNr4AW2hEsX,IfcElectricDistributionBoard,board,system_code,D0101,present
1uPDbvw6L0MgNr4AW2hEtU,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1uPDbvw6L0MgNr4AW2hEtU,IfcElectricDistributionBoard,board,phase_count,3.0,present
1uPDbvw6L0MgNr4AW2hEtU,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1uPDbvw6L0MgNr4AW2hEtU,IfcElectricDistributionBoard,board,system_code,S0301,present
1aUKvm5Vn6pB1ZfN1xydf8,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1aUKvm5Vn6pB1ZfN1xydf8,IfcElectricDistributionBoard,board,phase_count,3.0,present
1aUKvm5Vn6pB1ZfN1xydf8,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1aUKvm5Vn6pB1ZfN1xydf8,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSz7a,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3Sg96Yq1H0KeIY_4TWSz7a,IfcElectricDistributionBoard,board,phase_count,3.0,present
3Sg96Yq1H0KeIY_4TWSz7a,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3Sg96Yq1H0KeIY_4TWSz7a,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSz7T,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3Sg96Yq1H0KeIY_4TWSz7T,IfcElectricDistributionBoard,board,phase_count,1.0,present
3Sg96Yq1H0KeIY_4TWSz7T,IfcElectricDistributionBoard,board,rated_current_a,,missing
3Sg96Yq1H0KeIY_4TWSz7T,IfcElectricDistributionBoard,board,system_code,D0101,present
3Sg96Yq1H0KeIY_4TWSz7S,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3Sg96Yq1H0KeIY_4TWSz7S,IfcElectricDistributionBoard,board,phase_count,3.0,present
3Sg96Yq1H0KeIY_4TWSz7S,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3Sg96Yq1H0KeIY_4TWSz7S,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSz7V,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3Sg96Yq1H0KeIY_4TWSz7V,IfcElectricDistributionBoard,board,phase_count,3.0,present
3Sg96Yq1H0KeIY_4TWSz7V,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3Sg96Yq1H0KeIY_4TWSz7V,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSz7U,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3Sg96Yq1H0KeIY_4TWSz7U,IfcElectricDistributionBoard,board,phase_count,3.0,present
3Sg96Yq1H0KeIY_4TWSz7U,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3Sg96Yq1H0KeIY_4TWSz7U,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSz7H,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3Sg96Yq1H0KeIY_4TWSz7H,IfcElectricDistributionBoard,board,phase_count,1.0,present
3Sg96Yq1H0KeIY_4TWSz7H,IfcElectricDistributionBoard,board,rated_current_a,,missing
3Sg96Yq1H0KeIY_4TWSz7H,IfcElectricDistributionBoard,board,system_code,D0101,present
3Sg96Yq1H0KeIY_4TWSz79,IfcElectricDistributionBoard,board,voltage_v,230.0,present
