edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
cab_1f7Bw5t3P60ARAxjMOUgEX__OBJECT_ASSIGNED_TO_ZONE__tz_1BI3W4_qjCRul28Xx_mExj,cab_1f7Bw5t3P60ARAxjMOUgEX,tz_1BI3W4_qjCRul28Xx_mExj,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""2.94""}",
cab_1f7Bw5t3P60ARAxjMOUg9U__OBJECT_LOCATED_ON_FLOOR__floor_level_03,cab_1f7Bw5t3P60ARAxjMOUg9U,floor_level_03,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_1f7Bw5t3P60ARAxjMOUg9U__OBJECT_ASSIGNED_TO_ZONE__tz_0Q4MSUQx531vKL_w06Agwi,cab_1f7Bw5t3P60ARAxjMOUg9U,tz_0Q4MSUQx531vKL_w06Agwi,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""2.27""}",
cab_1f7Bw5t3P60ARAxjMOUg85__OBJECT_LOCATED_ON_FLOOR__floor_level_03,cab_1f7Bw5t3P60ARAxjMOUg85,floor_level_03,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_1f7Bw5t3P60ARAxjMOUg85__OBJECT_ASSIGNED_TO_ZONE__tz_1xBFBS5N18MfdblikYnUB5,cab_1f7Bw5t3P60ARAxjMOUg85,tz_1xBFBS5N18MfdblikYnUB5,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""4.62""}",
cab_3cgBxX76D4pg5TsSWZI2mq__OBJECT_LOCATED_ON_FLOOR__floor_level_03,cab_3cgBxX76D4pg5TsSWZI2mq,floor_level_03,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3cgBxX76D4pg5TsSWZI2mq__OBJECT_ASSIGNED_TO_ZONE__tz_0Q4MSUQx531vKL_w06Agwi,cab_3cgBxX76D4pg5TsSWZI2mq,tz_0Q4MSUQx531vKL_w06Agwi,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""0.97""}",
cab_3cgBxX76D4pg5TsSWZI2mc__OBJECT_LOCATED_ON_FLOOR__floor_level_03,cab_3cgBxX76D4pg5TsSWZI2mc,floor_level_03,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3cgBxX76D4pg5TsSWZI2mc__OBJECT_ASSIGNED_TO_ZONE__tz_2iOIITjL90wPZVGpFrW3kR,cab_3cgBxX76D4pg5TsSWZI2mc,tz_2iOIITjL90wPZVGpFrW3kR,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.0""}",
cab_3cgBxX76D4pg5TsSWZI1FI__OBJECT_LOCATED_ON_FLOOR__floor_level_03,cab_3cgBxX76D4pg5TsSWZI1FI,floor_level_03,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3cgBxX76D4pg5TsSWZI1FI__OBJECT_ASSIGNED_TO_ZONE__tz_3b3bVmE5P4tBwtV6k__euI,cab_3cgBxX76D4pg5TsSWZI1FI,tz_3b3bVmE5P4tBwtV6k__euI,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""0.97""}",
cab_3cgBxX76D4pg5TsSWZI1FU__OBJECT_LOCATED_ON_FLOOR__floor_level_03,cab_3cgBxX76D4pg5TsSWZI1FU,floor_level_03,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3cgBxX76D4pg5TsSWZI1FU__OBJECT_ASSIGNED_TO_ZONE__tz_1ihDn_IqL2a8bCCZUoYpME,cab_3cgBxX76D4pg5TsSWZI1FU,tz_1ihDn_IqL2a8bCCZUoYpME,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""2.21""}",
cab_3Sg96Yq1H0KeIY_4TWSzF6__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzF6,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzF6__OBJECT_ASSIGNED_TO_ZONE__tz_0Q4MSUQx531vKL_w06Ag5_,cab_3Sg96Yq1H0KeIY_4TWSzF6,tz_0Q4MSUQx531vKL_w06Ag5_,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""3.81""}",
cab_3Sg96Yq1H0KeIY_4TWSzCx__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCx,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCx__OBJECT_ASSIGNED_TO_ZONE__tz_2gcNnmocjA5uvLJTxY_5Hl,cab_3Sg96Yq1H0KeIY_4TWSzCx,tz_2gcNnmocjA5uvLJTxY_5Hl,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""3.8""}",
cab_3Sg96Yq1H0KeIY_4TWSzCy__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCy,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCy__OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO16z,cab_3Sg96Yq1H0KeIY_4TWSzCy,tz_3M4BY9f2fEkQXYemrsO16z,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.93""}",
cab_3Sg96Yq1H0KeIY_4TWSzC___OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzC_,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzC___OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO16f,cab_3Sg96Yq1H0KeIY_4TWSzC_,tz_3M4BY9f2fEkQXYemrsO16f,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""0.73""}",
cab_3Sg96Yq1H0KeIY_4TWSzCs__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCs,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCs__OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO178,cab_3Sg96Yq1H0KeIY_4TWSzCs,tz_3M4BY9f2fEkQXYemrsO178,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""0.84""}",
cab_3Sg96Yq1H0KeIY_4TWSzCe__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCe,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCe__OBJECT_ASSIGNED_TO_ZONE__tz_3PHN3kec17q9UkUqax50dj,cab_3Sg96Yq1H0KeIY_4TWSzCe,tz_3PHN3kec17q9UkUqax50dj,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""2.32""}",
