node_id,node_type,name,label,source_system,source_file,ifc_global_id,eplus_name,xeokit_object_id,zone_id,floor_id,room_id,coordinates,properties_json,value_class,confidence,notes
board_3_XGvzQVX2IO92jk20E4kJ,ElectricalBoard,-,RKE06,ifc_ele,ELE_enriched.ifc,3$XGvzQVX2IO92jk20E4kJ,,,,floor_basement,,"[23.984, 46.86, 51.7]","{""device_tag"": ""RKE06"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3_XGvzQVX2IO92jk20E2M_,ElectricalBoard,-,RKE07,ifc_ele,ELE_enriched.ifc,3$XGvzQVX2IO92jk20E2M_,,,,floor_basement,,"[64.971, 65.204, 51.7]","{""device_tag"": ""RKE07"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3_XGvzQVX2IO92jk20E2MP,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3$XGvzQVX2IO92jk20E2MP,,,,floor_basement,,"[65.895, 64.592, 51.7]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_0YlieLMgD4O9YRLNjlwdJN,ElectricalBoard,-,JKE02,ifc_ele,ELE_enriched.ifc,0YlieLMgD4O9YRLNjlwdJN,,,,floor_basement,,"[41.159, 55.551, 51.7]","{""device_tag"": ""JKE02"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_0YlieLMgD4O9YRLNjlwdJu,ElectricalBoard,-,JKE02,ifc_ele,ELE_enriched.ifc,0YlieLMgD4O9YRLNjlwdJu,,,,floor_basement,,"[41.677, 54.941, 51.7]","{""device_tag"": ""JKE02"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1T4Dk9Ojj9rOi06EMenZ3N,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,1T4Dk9Ojj9rOi06EMenZ3N,,,,floor_basement,,"[59.527, 70.817, 51.7]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1T4Dk9Ojj9rOi06EMenZ3G,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,1T4Dk9Ojj9rOi06EMenZ3G,,,,floor_basement,,"[60.366, 69.421, 51.7]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_0v5ZMY9z92W9XFjubzgo4H,ElectricalBoard,-,PKE01,ifc_ele,ELE_enriched.ifc,0v5ZMY9z92W9XFjubzgo4H,,,,floor_basement,,"[33.655, 50.524, 51.7]","{""device_tag"": ""PKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Pääkeskus""}",ifc_derived,high,
board_0v5ZMY9z92W9XFjubzgo4t,ElectricalBoard,-,PKE01,ifc_ele,ELE_enriched.ifc,0v5ZMY9z92W9XFjubzgo4t,,,,floor_basement,,"[33.882, 50.257, 51.7]","{""device_tag"": ""PKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Pääkeskus""}",ifc_derived,high,
board_03k_lofl1AlwgVg6JePWUa,ElectricalBoard,601_CE_RCS_BOX_V_BTM_CEN-350-1500-1900-0,RKT02,ifc_ele,ELE_enriched.ifc,03k$lofl1AlwgVg6JePWUa,,,,floor_basement,,"[37.423, 49.806, 51.7]","{""device_tag"": ""RKT02"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
