load_point_id,circuit_id,board_id,category,system_code,mapping_method,mapping_confidence
lp_0aAr_qi8TBnPSZscFvv8EL,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8Pf,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8OG,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8OY,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8OX,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8RI,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8RH,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8RO,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8RV,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8R6,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8R5,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8SH,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8S9,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8St,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8Sf,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8VL,circuit_board_1BFJi9GR9EgeQt8GQ9AUhL_lights,board_1BFJi9GR9EgeQt8GQ9AUhL,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8VB,circuit_board_1BFJi9GR9EgeQt8GQ9AUhL_lights,board_1BFJi9GR9EgeQt8GQ9AUhL,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8VZ,circuit_board_1IIV9b5Dr84eaHsxik87Mo_lights,board_1IIV9b5Dr84eaHsxik87Mo,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8VY,circuit_board_1IIV9b5Dr84eaHsxik87Mo_lights,board_1IIV9b5Dr84eaHsxik87Mo,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8Vi,circuit_board_1BFJi9GR9EgeQt8GQ9AYuy_lights,board_1BFJi9GR9EgeQt8GQ9AYuy,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8UJ,circuit_board_1BFJi9GR9EgeQt8GQ9AYuy_lights,board_1BFJi9GR9EgeQt8GQ9AYuy,lights,S0301,system_code+floor+nearest,medium
